1103320587705946116|@JulioCruzSotom1|03:45 - 06 mar. 2019|1|De eso hablan los de la #6 PSC del.Modelo Exitoso un aguacero se inunda Guayaquilhttps://twitter.com/fcojimenez21/status/1103274113643266050 …
1096228824482832384|@JulioCruzSotom1|02:04 - 15 feb. 2019|1|Quien no debate no merece que votes por ella #6 PSChttps://twitter.com/fcojimenez21/status/1096163902126202881 …
1095774385108148224|@JulioCruzSotom1|07:59 - 13 feb. 2019|1|Totalmente de acuerdo candidato que no debate no merece estar en la Alcaldia de Guayaquil por eso no votes por la lista 6 PSChttps://twitter.com/fcojimenez21/status/1095458710804152320 …
1092946567999483905|@JulioCruzSotom1|12:42 - 06 feb. 2019|1|Adelante Francisco tenemos al mejor candidato a la Alcaldia que Dios te bendigahttps://twitter.com/fcojimenez21/status/1092899883596558336 …
1107783974464733186|@fcojimenez21|11:20 - 18 mar. 2019|1|Nuestra propuesta de transporte fluvial justamente te permitirá movilizarte por el río.https://twitter.com/fcojimenez21/status/1092405494478708736?s=21 …
1098396300121378822|@inmegusa|01:37 - 21 feb. 2019|1|https://twitter.com/fcojimenez21/status/1098387535523385350 …
1107341943032422400|@Angel_mero96|06:04 - 17 mar. 2019|1|¿Hasta cuando?https://twitter.com/fcojimenez21/status/1104837057598418945 …
1101309385660260352|@Angel_mero96|02:33 - 01 mar. 2019|1|#GuayaquilConJiménez #DebatePorGuayaquil #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101307492670365697 …
1095549577049063426|@aleidacherres|05:05 - 13 feb. 2019|1|Meeegaaaaa rt @CynthiaViteri6https://twitter.com/fcojimenez21/status/1095458710804152320 …
1096629839929446400|@elpatreota|04:38 - 16 feb. 2019|1|Los figuretis para alcalde de Quito tomen nota: 70% baja de impuesto!https://twitter.com/fcojimenez21/status/1096395744452329472 …
1092252474130554881|@Elisa90727194|02:44 - 04 feb. 2019|1|Buen probecho futuro alcaldehttps://twitter.com/fcojimenez21/status/1091868129083437056 …
1107822220284489728|@ecuadoriano94|01:52 - 19 mar. 2019|1|Mi voto por Francisco Jimenezhttps://twitter.com/fcojimenez21/status/1107777175070167040 …
1103065805779021824|@ecuadoriano94|10:52 - 05 mar. 2019|1|#Guayaquilhttps://twitter.com/fcojimenez21/status/1103009297150152704 …
1098668464456323072|@ecuadoriano94|07:39 - 21 feb. 2019|1|Genial Jimenez alcaldehttps://twitter.com/fcojimenez21/status/1098623897996533760 …
1096203954197803008|@ecuadoriano94|12:26 - 15 feb. 2019|1|#Guayaquil #Elecciones2019https://twitter.com/fcojimenez21/status/1096163902126202881 …
1096027540551073795|@marielamona70|12:45 - 14 feb. 2019|1|Para que no nos demos cuenta que es igual de bruta q su jefe @Leninhttps://twitter.com/fcojimenez21/status/1095458710804152320 …
