username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
WRadioec|Lenin|Cortes de energía en Zamora Chinchipe confirma el presidente @Lenin Moreno tras el sismo de esta madrugada cuyo epicentro se ubicó al norte de Perú y magnitud de 8.0 según @USGS.https://twitter.com/Lenin/status/1132562776893919232 …|1|3|0|1132564091355172864|https://twitter.com/WRadioec/status/1132564091355172864|229468495|2019-05-26 08:28:16+00:00|Sun May 26 08:28:16 +0000 2019|@Lenin @USGS|||https://twitter.com/Lenin/status/1132562776893919232
tuytuno|Cupsfire_gye|El sismo fue en Perú, a mucha distancia de Ecuador, posiblemente el reporte del IG referente a Zamora Chinchipe es porque el sensor más cercano al epicentro se encuentra en ese punto.|4|9|2|1132564051966472197|https://twitter.com/tuytuno/status/1132564051966472197|159355743|2019-05-26 08:28:06+00:00|Sun May 26 08:28:06 +0000 2019||||
adan_ulrich|Caca_De_Pato|Epicentro (ciudad xxxx, Perú), a 400 km de Zamora Chinchipe. Sí, debería ser así. Mucha gente leyó el tuit del IG y solo vio Zamora Chinchipe y no analizó la referencia en kilómetros.|0|6|2|1132563682741936128|https://twitter.com/adan_ulrich/status/1132563682741936128|429764372|2019-05-26 08:26:38+00:00|Sun May 26 08:26:38 +0000 2019||||
anniecanizares|Lenin|Cortes de energía en Zamora Chinchipe confirma el presidente Lenín Moreno tras el sismo de esta madrugada cuyo epicentro se ubicó al norte de Perú y magnitud de 8.0 según @USGS. #sismohttps://twitter.com/Lenin/status/1132562776893919232 …|22|17|3|1132563487933308931|https://twitter.com/anniecanizares/status/1132563487933308931|161425305|2019-05-26 08:25:52+00:00|Sun May 26 08:25:52 +0000 2019|@USGS|#sismohttps||https://twitter.com/Lenin/status/1132562776893919232
kvillalbai|Riesgos_Ec|Alguien me explica si Zamora Chinchipe queda en el Perú, porque dicen que ahí fue el epicentro? O ahí fue el de 7.7 y el Perú de 8.1, que alguien me explique,!|0|7|6|1132562883248832512|https://twitter.com/kvillalbai/status/1132562883248832512|106127702|2019-05-26 08:23:28+00:00|Sun May 26 08:23:28 +0000 2019||||
aldiacomec|None|#URGENTE   Se registró un #sismo de magnitud 7.70 con un epicentro en Yantzaza, Zamora Chinchipe. Tambien ha sido sentido en Colombia y Perú ¿Cuál es el reporte en su ciudad? pic.twitter.com/w8koAFvhJs|1|4|2|1132562815858831361|https://twitter.com/aldiacomec/status/1132562815858831361|429416730|2019-05-26 08:23:11+00:00|Sun May 26 08:23:11 +0000 2019||#URGENTE #sismo||
Pacho_AndradeDH|Expresoec|El epicentro fue en peru, la referencia ecuatoriana más cercana es zamora chinchipe!!!|0|0|0|1132562665501593602|https://twitter.com/Pacho_AndradeDH/status/1132562665501593602|505070435|2019-05-26 08:22:36+00:00|Sun May 26 08:22:36 +0000 2019||||
Coffidi|rEtNdLsR|Qué bueno que no haya pasado a mayores... Igual me corrijo porque el IG ha puesto que el epicentro fue a 430 y pico km de Zamora Chinchipe... Entonces debe ser el epicentro de Perú que otras instituciones han reportado... Igual estuvo terrible|0|1|2|1132562158993256449|https://twitter.com/Coffidi/status/1132562158993256449|158941827|2019-05-26 08:20:35+00:00|Sun May 26 08:20:35 +0000 2019||||
dogorschopper88|None|Que manera de hablar webadas. El epicentro fue en Perú, no se xque chucha ponen que fue en Zamora Chinchipe, que se haya sentido hasta alla si, incluso hasta Gye llegó, pero no malinformen...!!!|0|1|0|1132562118086135809|https://twitter.com/dogorschopper88/status/1132562118086135809|268667133|2019-05-26 08:20:25+00:00|Sun May 26 08:20:25 +0000 2019||||
magusroman|ottosonnenh|El epicentro no es en Zamora Chinchipe es a 431km de Zamora Chinchipe!!!!! Epicentro es Peru|1|6|0|1132562036427243521|https://twitter.com/magusroman/status/1132562036427243521|187370644|2019-05-26 08:20:06+00:00|Sun May 26 08:20:06 +0000 2019||||
